id,code,short_name,full_name,country,date1,date2,url
rail_company_6,6,StL Holland,Stena Line Holland BV,NL,01/07/2004,01/07/2004,http://www.stenaline.nl/ferry/
rail_company_10,10,VR,VR-Yhtymä Oy,FI,30/06/1999,30/06/1999,http://www.vr.fi/
rail_company_12,12,TRFSA,Transfesa Logistics SA,ES,30/06/1999,30/06/1999,http://www.transfesa.com/
rail_company_13,13,OSJD,OSJD,PL,12/07/2000,12/07/2000,http://osjd.org/
rail_company_14,14,CWL,Compagnie des Wagons-Lits,FR,30/06/1999,30/06/1999,http://www.cwl-services.com/
rail_company_15,15,RMF,Rail Manche Finance,GB,30/06/1999,30/06/1999,http://www.rmf.co.uk/
rail_company_16,16,RD,RAILDATA,CH,30/06/1999,30/06/1999,http://www.raildata.coop/
rail_company_17,17,ENS,European Night Services Ltd,GB,30/06/1999,30/06/1999,
rail_company_18,18,THI Factory,THI Factory SA,BE,06/05/2005,06/05/2005,http://www.thalys.com/
rail_company_19,19,Eurostar I,Eurostar International Limited,GB,30/06/1999,30/06/1999,http://www.eurostar.com/
rail_company_20,20,OAO RZD,Joint Stock Company 'Russian Railways',RU,30/06/1999,30/06/1999,http://rzd.ru/
rail_company_21,21,BC,Belarusian Railways,BY,11/09/2003,24/11/2004,http://www.rw.by/
rail_company_22,22,UZ,Ukrainski Zaliznytsi,UA,15/01/2004,15/01/2004,http://uz.gov.ua/
rail_company_23,23,CFM,Calea Ferată din Moldova,MD,30/06/1999,30/06/1999,http://railway.md/
rail_company_24,24,LTG,AB 'Lietuvos geležinkeliai',LT,28/09/2004,24/11/2004,http://www.litrail.lt/
rail_company_25,25,LDZ,Latvijas dzelzceļš,LV,19/10/2004,24/11/2004,http://www.ldz.lv/
rail_company_26,26,EVR,Aktsiaselts Eesti Raudtee,EE,30/06/1999,30/06/1999,http://www.evr.ee/
rail_company_27,27,KTZ,Kazakhstan Temir Zholy,KZ,17/05/2004,17/05/2004,http://www.railway.ge/
